Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
72,,454982.239,4399922.179,2409.778,,-105.52546121,39.74801703,2409.778,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:15:34.8 UTC-07:00,2026-02-20 10:15:34.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,56.505,,WGS 84 / UTM zone 13N,9,7,9,5,0
74,,454984.190,4399922.063,2409.526,,-105.52543843,39.74801609,2409.526,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:16:24.8 UTC-07:00,2026-02-20 10:16:24.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,58.465,,WGS 84 / UTM zone 13N,9,7,9,5,0
76,,454986.179,4399921.944,2409.200,,-105.52541521,39.74801512,2409.200,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:16:57.2 UTC-07:00,2026-02-20 10:16:57.2 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,60.478,,WGS 84 / UTM zone 13N,9,7,9,5,0
78,,454988.154,4399921.883,2408.925,,-105.52539214,39.74801468,2408.925,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,RTK,2026-02-20 10:17:33.6 UTC-07:00,2026-02-20 10:17:33.6 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,62.461,,WGS 84 / UTM zone 13N,9,6,9,5,0
80,,454990.116,4399921.814,2408.584,,-105.52536925,39.74801416,2408.584,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:18:01.4 UTC-07:00,2026-02-20 10:18:01.4 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,64.445,,WGS 84 / UTM zone 13N,9,6,9,5,0
82,,454992.100,4399921.688,2408.274,,-105.52534607,39.74801313,2408.274,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:19:19.4 UTC-07:00,2026-02-20 10:19:19.4 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,66.453,,WGS 84 / UTM zone 13N,9,6,9,5,0
84,,454994.068,4399921.595,2407.959,,-105.52532310,39.74801239,2407.959,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:19:57.8 UTC-07:00,2026-02-20 10:19:57.8 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,68.442,,WGS 84 / UTM zone 13N,9,6,9,5,0
86,,454996.041,4399921.519,2407.713,,-105.52530007,39.74801181,2407.713,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:20:19.4 UTC-07:00,2026-02-20 10:20:19.4 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,70.421,,WGS 84 / UTM zone 13N,9,6,9,5,0
88,,454998.022,4399921.427,2407.466,,-105.52527694,39.74801109,2407.466,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:21:06.8 UTC-07:00,2026-02-20 10:21:06.8 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,72.410,,WGS 84 / UTM zone 13N,9,6,9,5,0
90,,455000.032,4399921.361,2407.281,,-105.52525347,39.74801060,2407.281,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:21:46.2 UTC-07:00,2026-02-20 10:21:46.2 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,74.415,,WGS 84 / UTM zone 13N,9,6,9,5,0
92,,455001.985,4399921.250,2407.064,,-105.52523067,39.74800970,2407.064,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:22:19.4 UTC-07:00,2026-02-20 10:22:19.4 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,76.375,,WGS 84 / UTM zone 13N,9,6,9,5,0
94,,455003.971,4399921.186,2406.862,,-105.52520749,39.74800923,2406.862,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:22:47.8 UTC-07:00,2026-02-20 10:22:47.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,78.360,,WGS 84 / UTM zone 13N,9,7,9,5,0
96,,455005.956,4399921.124,2406.693,,-105.52518431,39.74800878,2406.693,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:23:15.4 UTC-07:00,2026-02-20 10:23:15.4 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,80.339,,WGS 84 / UTM zone 13N,9,6,9,5,0
98,,455007.941,4399921.002,2406.480,,-105.52516114,39.74800778,2406.480,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:23:45.8 UTC-07:00,2026-02-20 10:23:45.8 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,82.332,,WGS 84 / UTM zone 13N,9,6,9,5,0
100,,455009.922,4399920.914,2406.218,,-105.52513802,39.74800710,2406.218,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:24:22.6 UTC-07:00,2026-02-20 10:24:22.6 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,84.327,,WGS 84 / UTM zone 13N,9,6,9,5,0
